date,band,support,tour,venue,city,status,tags,rating,notes,question
2023-06-07,Trivium,"Beartooth (co-headline), Malevolence, Archetypes Collide",The TrivTooth Tour,The Factory in Deep Ellum,"Dallas, TX",attended,metalcore,0,,
2022-09-30,"""Weird Al"" Yankovic",Emo Philips,"The Unfortunate Return of the Ridiculously Self-Indulgent, Ill-Advised Vanity Tour",Majestic Theatre,"Dallas, TX",attended,comedy rock,0,"Deliberately bare-bones — no costumes, props or video screens. Originals and deep cuts rather than the parodies, different setlist every night.",
2022-08-30,Megadeth,"Five Finger Death Punch (headline), The HU, Fire From the Gods",2022 co-headline tour,Dos Equis Pavilion,"Dallas, TX",attended,thrash metal,0,Logged as Aug 31 — the Dallas show was Aug 30. Your third time seeing FFDP.,
2021-12-11,Trans-Siberian Orchestra,,2021 Winter Tour,American Airlines Center,"Dallas, TX",attended,"symphonic rock, holiday",0,Two shows that day — 3:30 pm matinee and 8:00 pm. TSO's return after the 2020 tour was cancelled.,
2019-09-08,Sevendust,,,Bomb Factory,"Dallas, TX",attended,metal,0,,
2019-04-26,Killswitch Engage,"Parkway Drive (co-headline), After the Burial, Vein.fm",Collapse the World Tour,South Side Ballroom,"Dallas, TX",attended,metalcore,0,Co-headliners alternated closing — likely the night you missed one of them.,
2018-10-20,Blue October,Longwave,I Hope You're Happy Tour,The Pavilion at Toyota Music Factory,"Irving, TX",attended,alt rock,0,,
2018-08-29,Journey,Def Leppard (co-headline),Def Leppard & Journey 2018 Tour,American Airlines Center,"Dallas, TX",attended,classic rock,0,Journey closed the night. Def Leppard played 'When Love & Hate Collide' for the first time on the tour at this show.,
2018-07-24,Seether,"10 Years, The Dead Deads",Poison the Parish World Tour,The Bomb Factory,"Dallas, TX",attended,hard rock,0,,
2018-03-23,Highly Suspect,The Unlikely Candidates,,The Bomb Factory,"Dallas, TX",attended,alt rock,0,First of two Bomb Factory nights with them — the MCID show followed 18 months later.,
2018-03-03,AWOLNATION,"Nothing But Thieves, Irontom",Here Come the Runts Tour,The Pavilion at Toyota Music Factory,"Irving, TX",attended,alt rock,0,,
2017-06-16,Metallica,"Avenged Sevenfold, Local H, Mix Master Mike",WorldWired Tour,AT&T Stadium,"Arlington, TX",attended,metal,0,,
2016-10-19,Five Finger Death Punch,"Shinedown (co-headline), Sixx:A.M., As Lions",Fall Arena Tour 2016,Verizon Theatre at Grand Prairie,"Grand Prairie, TX",attended,metal,0,Same room as Tool in Jan 2016 and Weird Al in 2025 — later renamed Texas Trust CU Theatre.,
2016-09-10,Angel Vivaldi,Gus G (co-headline),Operation: Domination,The Rail Club,"Fort Worth, TX",attended,instrumental metal,0,"Both guitarists played solo sets then jammed together, sharing a band. Gus G was Ozzy's guitarist at the time and worked Ozzy and Firewind material into his set.",
2016-08-12,Disturbed,"Breaking Benjamin, Alter Bridge, Saint Asonia",Immortalized Tour,Gexa Energy Pavilion,"Dallas, TX",attended,metal,0,Same amphitheater as your two Mayhem Fests and the 2022 Megadeth show — it just kept changing names.,
2016-08-03,Guns N' Roses,The Cult,Not in This Lifetime Tour,AT&T Stadium,"Arlington, TX",attended,hard rock,0,Logged as Aug 4 — the Arlington show was Aug 3.,
2016-01-17,Tool,"Primus, 3Teeth",North American Tour 2016,Verizon Theatre at Grand Prairie,"Grand Prairie, TX",attended,prog metal,0,,
2016-01-09,MxPx,Five Iron Frenzy,,Trees,"Dallas, TX",attended,punk,0,Sold out.,
2015-08-21,"""Weird Al"" Yankovic",,The Mandatory World Tour,Verizon Theatre at Grand Prairie,"Grand Prairie, TX",attended,comedy rock,0,"Behind Mandatory Fun. Same room you'd see him in again ten years later, by then renamed Texas Trust CU Theatre.",
2014-10-20,Flaw,,,Trees,"Dallas, TX",attended,nu metal,0,"Confirmed - Flaw alone, no other bands on the bill.",
2014-08-15,Demon Hunter,"RED (co-headline), Veridia",Extremist summer North American tour,The Door,"Deep Ellum, Dallas, TX",attended,metalcore,0,Confirmed. Their only Dallas date of 2014. Friday night.,
2014-04-05,Sevendust,,An Evening With Sevendust,Trees,"Dallas, TX",attended,"metal, acoustic",0,Acoustic tour for Time Travelers & Bonfires — their first acoustic run since 2004. Clint Lowery sang 'Hurt' on this tour only.,
2014-03-08,Lacuna Coil,"Sick Puppies (co-headline), Eyes Set to Kill, Cilver",Revolver Hottest Chicks in Hard Rock Tour,Gas Monkey Bar N' Grill,"Dallas, TX",attended,gothic metal,0,"Four-band bill, all women-fronted. Polar vortex winter — tour was billed as a Feb/March run.",
2013-02-26,Dropkick Murphys,,Signed and Sealed in Blood era,House of Blues,"Dallas, TX",attended,celtic punk,0,Identified from video. Originally logged as Feb 17.,
2012-12-02,Killswitch Engage,Shadows Fall (co-headline),Co-headline tour with Shadows Fall,Trees,"Dallas, TX",attended,metalcore,0,Logged as Dec 3 - the show was Dec 2. Jesse Leach's first year back on vocals. This is also the Shadows Fall sighting.,
2011-11-12,Five Finger Death Punch,"All That Remains, Hatebreed, Rains",Share the Welt Tour,Palladium Ballroom,"Dallas, TX",attended,metal,0,"American Capitalist era — the album that broke them, out a month earlier.",
2011-05-10,Black Label Society,"All That Remains, Rev Theory, Anchored",Fuse TV Uranium Tour,House of Blues,"Dallas, TX",attended,metal,0,"Identified from the skull mic stand - Zakk Wylde's, and unmistakable. Six months before you saw All That Remains again supporting FFDP.",
2011-01-20,Ozzy Osbourne,Slash,Scream World Tour,American Airlines Center,"Dallas, TX",attended,metal,0,,
2009-11-02,AC/DC,The Answer,Black Ice World Tour,American Airlines Center,"Dallas, TX",attended,hard rock,0,"Leg 3 of the Black Ice tour - part of a Texas run that hit Oklahoma City, Austin and Houston that same week.",
2009-09-29,Metallica,"Lamb of God, Gojira",World Magnetic Tour,American Airlines Center,"Dallas, TX",attended,metal,0,"First time Dyers Eve was ever played in Dallas, and its first US outing since 2004. Breadfan returned to Dallas for the first time in 11 years.",
2008-07-25,Five Finger Death Punch,"Main stage: Slipknot, Disturbed, Mastodon, DragonForce. Jagermeister stage: Machine Head, Airbourne. Hot Topic stage: Underoath, Suicide Silence, 36 Crazyfists, Black Tide, The Red Chord",Rockstar Energy Mayhem Festival 2008,Superpages.com Center,"Dallas, TX",attended,"metal, festival",0,"Inaugural Mayhem Fest, three stages. FFDP on the Jägermeister stage — their festival debut, ~30 min set. Venue was the old Smirnoff Music Centre.",
2008-04-24,Van Halen,Ryan Shaw,North American Tour 2007–2008,American Airlines Center,"Dallas, TX",attended,hard rock,0,"The Roth reunion tour — first Dallas show with him since 1984, and Wolfgang Van Halen's first run on bass.",
2006-11-29,Blue October,,Foiled,Lakewood Theater,"Dallas, TX",attended,alt rock,0,"The 29th, first of a two-night stand. Peak of the Foiled year, when Hate Me and Into the Ocean were everywhere.",
2006-06-18,Edgefest 15,"Staind, Hoobastank, Shinedown, Three Days Grace, 30 Seconds to Mars, Seether, Flyleaf, Trapt, Buckcherry, Nonpoint, Drowning Pool, Hawthorne Heights, Atreyu, 10 Years, Evans Blue, Blue October, The Toadies",KDGE 102.1 The Edge,Pizza Hut Park,"Frisco, TX",attended,"alt rock, festival",0,Over 30 acts across the day. First Edgefest at the Frisco stadium after years at Fair Park.,
2005-08-02,Megadeth,"Dream Theater (co-headline), Fear Factory, Nevermore, Symphony X, Life of Agony, Dillinger Escape Plan",Gigantour 2005,Nokia Theatre at Grand Prairie,"Grand Prairie, TX",attended,"thrash metal, festival",0,"The first Gigantour, Megadeth's own travelling festival. Same building as your Tool, Weird Al, FFDP and Godsmack nights - it was called Nokia then.",
2004-08-07,Edgefest 13,"Evanescence, Seether, Finger Eleven, Three Days Grace, Saliva, Breaking Benjamin, Lit, Blue October, Burning Brides, The Vanished",KDGE 102.1 The Edge,Smirnoff Music Centre,"Dallas, TX",attended,"alt rock, festival",0,"Only Edgefest ever held in August - the rest were spring events. Fair Park amphitheatre, the same building as your Mayhem, Disturbed and Megadeth nights under its later names.",
2003-11-02,Stryper,,Reunion Tour,Ridglea Theater,"Fort Worth, TX",attended,metal,0,"First tour in 12 years with the original four. Falls inside the window they were recording for the live album '7 Weeks: Live in America, 2003.'",
